SIMULATED EQUIVALENT  """OBSERVED VALUE"""  """OBSERVATION NAME"""
6  11  w3_10251994
6  14  w3_11301994
6  14  w3_12291994
5  18  w3_01261995
5  18  w3_02281995
5  20  w3_03161995
5  20  w3_03301995
5  20  w3_05311995
5  14  w3_07311995
5  14  w3_09061995
5  14  w3_10051995
5  13  w3_11021995
5  14  w3_11281995
5  14  w3_12271995
5  15  w3_02071996
5  18  w3_02281996
5  19  w3_03281996
5  19  w3_04301996
5  18  w3_05301996
5  14  w3_07011996
4  14  w3_08301996
4  14  w3_09271996
4  14  w3_11151996
4  14  w3_12031996
3  14  w3_12271996
3  22  w3_01311997
3  21  w3_02271997
3  18  w3_03281997
3  17  w3_04281997
3  13  w3_05291997
3  13  w3_07091997
2  13  w3_08051997
2  13  w3_08291997
2  14  w3_09301997
2  14  w3_10301997
2  14  w3_11241997
2  16  w3_12301997
2  19  w3_01291998
2  23  w3_02251998
2  23  w3_03301998
2  22  w3_05121998
2  22  w3_06011998
2  16  w3_07011998
2  15  w3_08051998
2  15  w3_08281998
2  15  w3_09291998
2  15  w3_10281998
2  15  w3_12021998
2  15  w3_12281998
2  15  w3_01281999
2  16  w3_02241999
2  16  w3_04021999
2  16  w3_04281999
2  15  w3_06011999
2  13  w3_07011999
2  12  w3_07271999
3  12  w3_08311999
3  13  w3_10081999
3  13  w3_10281999
3  15  w3_11291999
3  14  w3_01052000
3  16  w3_01282000
3  18  w3_02252000
3  21  w3_04032000
2  19  w3_04252000
2  18  w3_06012000
2  12  w3_06282000
3  12  w3_07312000
3  14  w3_08292000
3  13  w3_10032000
40  29  w4_11011990
39  30  w4_11291990
40  31  w4_12271990
40  32  w4_01311991
40  33  w4_02281991
39  34  w4_03281991
37  28  w4_05021991
36  34  w4_05301991
35  33  w4_06271991
34  32  w4_08011991
32  31  w4_08291991
32  30  w4_09261991
31  29  w4_10311991
31  29  w4_11271991
30  31  w4_01021992
29  33  w4_01301992
29  27  w4_02271992
29  29  w4_04021992
30  34  w4_04301992
30  33  w4_05281992
29  33  w4_07021992
28  32  w4_07301992
28  31  w4_08271992
30  33  w4_10011992
31  33  w4_10291992
31  33  w4_11251992
32  34  w4_12311992
32  34  w4_01281993
33  35  w4_02251993
35  35  w4_04011993
36  34  w4_04291993
36  34  w4_05271993
37  34  w4_07011993
38  33  w4_07291993
38  33  w4_08261993
39  33  w4_09301993
39  33  w4_10281993
39  33  w4_11241993
40  34  w4_12301993
40  34  w4_01271994
18  18  w5_10251990
18  16  w5_11161990
17  16  w5_12201990
17  17  w5_01041991
17  13  w5_02051991
17  14  w5_03051991
17  14  w5_03061991
17  18  w5_03141991
17  21  w5_03201991
17  22  w5_03221991
17  23  w5_03251991
17  24  w5_03281991
17  24  w5_04021991
17  24  w5_04091991
18  24  w5_04121991
18  24  w5_04181991
18  25  w5_05031991
17  24  w5_05161991
17  23  w5_05231991
17  24  w5_05301991
17  24  w5_06061991
16  24  w5_06201991
16  22  w5_07051991
15  22  w5_08061991
14  20  w5_09041991
13  15  w5_10021991
14  17  w5_11151991
15  17  w5_12091991
15  16  w5_01061992
15  20  w5_02051992
15  23  w5_02111992
15  24  w5_02121992
15  24  w5_02131992
15  24  w5_02141992
15  24  w5_02151992
15  24  w5_02181992
15  25  w5_02191992
15  25  w5_02211992
15  25  w5_02241992
15  25  w5_02261992
15  25  w5_02281992
15  25  w5_03021992
16  25  w5_03061992
16  25  w5_03121992
16  25  w5_04021992
12  25  w5_05081992
11  24  w5_06091992
10  22  w5_07071992
9  20  w5_08101992
8  17  w5_09101992
9  18  w5_10191992
10  16  w5_11111992
11  16  w5_12021992
12  15  w5_12291992
12  15  w5_12311992
12  17  w5_01041993
12  22  w5_01141993
12  25  w5_01251993
12  25  w5_02191993
13  25  w5_03031993
