Gage, Time Start, Time Stop, Cutoff min (cfs), Cutoff max (cfs), Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
DJ,01-Oct-1992,30-Sep-1993, 200, 500,382.65,114.05,310.86, 82.53,    44,0.3365
DJ,01-Oct-1993,30-Sep-1994,   0,10000, 38.99, 56.60, 17.62, 45.12,   365,0.7082
DJ,01-Oct-1993,30-Sep-1994,   0,  20, 24.86, 29.48,  6.27,  5.34,   309,0.7002
DJ,01-Oct-1993,30-Sep-1994,  20, 200, 98.72, 72.86, 55.28, 40.33,    53,0.7039
DJ,01-Oct-1993,30-Sep-1994, 200, 500,306.67,144.85,262.75, 39.81,     4,0.3348
DJ,01-Oct-1994,30-Sep-1995,   0,10000,221.39,485.44,239.80,663.39,   365,0.5303
DJ,01-Oct-1994,30-Sep-1995,   0,  20, 18.79, 17.08,  5.49,  4.88,   166,-0.3899
DJ,01-Oct-1994,30-Sep-1995,  20, 200,139.31, 95.22,105.92, 56.13,   118,0.8351
DJ,01-Oct-1994,30-Sep-1995, 200, 500,372.05,132.72,291.68, 78.74,    37,0.7952
DJ,01-Oct-1995,30-Sep-1996,   0,10000,104.97,209.61,114.45,236.25,   366,0.7368
DJ,01-Oct-1995,30-Sep-1996,   0,  20,  7.53,  4.43, 10.43,  3.69,   186,0.4994
DJ,01-Oct-1995,30-Sep-1996,  20, 200,118.05, 96.55, 86.92, 52.82,   131,0.5519
DJ,01-Oct-1995,30-Sep-1996, 200, 500,287.49, 78.39,312.07, 88.34,    28,0.7709
DJ,01-Oct-1996,30-Sep-1997,   0,10000,122.68,246.08,154.38,369.80,   365,0.7046
DJ,01-Oct-1996,30-Sep-1997,   0,  20,  5.57,  5.49,  7.43,  3.61,   183,0.3943
DJ,01-Oct-1996,30-Sep-1997,  20, 200, 94.61,112.52, 68.46, 46.94,   117,0.7635
DJ,01-Oct-1996,30-Sep-1997, 200, 500,391.29,213.06,318.14, 81.16,    36,0.3786
DJ,01-Oct-1997,30-Sep-1998,   0,10000,330.59,710.67,348.39,718.44,   365,0.7496
DJ,01-Oct-1997,30-Sep-1998,   0,  20, 12.18, 14.71,  8.54,  6.10,    82,0.0281
DJ,01-Oct-1997,30-Sep-1998,  20, 200, 98.31,122.41, 83.22, 52.08,   144,0.4738
DJ,01-Oct-1997,30-Sep-1998, 200, 500,354.24,121.34,314.32, 78.78,    71,0.4049
DJ,01-Oct-1998,30-Sep-1999,   0,10000, 62.58, 75.52, 74.00,103.35,   365,0.7546
DJ,01-Oct-1998,30-Sep-1999,   0,  20,  7.16,  1.55,  9.27,  4.76,   103,0.9349
DJ,01-Oct-1998,30-Sep-1999,  20, 200, 65.59, 60.97, 71.87, 52.79,   237,0.8509
DJ,01-Oct-1998,30-Sep-1999, 200, 500,226.73, 58.40,263.89, 55.82,    27,0.0531
DJ,01-Oct-1999,30-Sep-2000,   0,10000, 90.56,150.95,101.87,232.62,   366,0.5784
DJ,01-Oct-1999,30-Sep-2000,   0,  20,  9.98,  7.46,  9.11,  3.34,   205,0.1759
DJ,01-Oct-1999,30-Sep-2000,  20, 200,113.89, 94.28, 79.76, 46.77,   116,0.7846
DJ,01-Oct-1999,30-Sep-2000, 200, 500,416.18,207.15,355.27, 88.02,    26,0.5061
DJ,01-Oct-2000,30-Sep-2001,   0,10000,109.14,232.08, 68.18,144.30,   365,0.7135
DJ,01-Oct-2000,30-Sep-2001,   0,  20, 13.90, 12.11, 10.58,  5.01,   207,0.5117
