Gage, Year, Month, Cutoff Low (cfs), Cutoff High (cfs), Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
H1,  1997,     1,   200,   500, 555.70, 15.58,371.40, 58.16,     10, 0.017369
H1,  1997,     2,   200,   500, 995.40,197.83,308.35, 85.73,     17, 0.96204
H1,  1997,     2,    20,   200, 235.33, 80.65,178.67, 10.07,      6, 0.87307
H1,  1997,     3,    20,   200, 114.40, 50.84,101.48, 27.81,     31, 0.92617
H1,  1997,     4,    20,   200,  29.97,  8.78, 48.93,  8.61,     30, 0.94607
H1,  1997,     5,    20,   200,  15.52,  1.73, 26.50,  5.23,     12, 0.35122
H1,  1997,     5,     0,    20,  16.25,  0.92,  8.24,  3.63,     19, 0.92379
H1,  1997,     6,     0,    20,  12.66,  2.28,  1.07,  1.05,     30, 0.58605
H1,  1997,     7,     0,    20,   5.12,  0.66,  0.02,  0.04,     31, 0.88624
H1,  1997,     8,     0,    20,  12.24, 40.15,  0.00,  0.00,     31, 
H1,  1997,     9,     0,    20,   3.41,  0.27,  0.00,  0.00,     30, 
H1,  1998,    10,     0,    20,   9.70,  0.24, 10.77,  2.81,     31, 0.67263
H1,  1998,    11,    20,   200,  11.03,  0.64, 24.29,  4.87,     14, 0.5077
H1,  1998,    11,     0,    20,  10.96,  0.68, 17.94,  1.34,     17, 0.61758
H1,  1998,    12,    20,   200,  10.92,  2.74, 51.61, 14.41,     31, 0.38265
H1,  1998,     1,   200,   500, 482.43,195.34,365.40, 89.35,     10, 0.41476
H1,  1998,     1,    20,   200, 323.24, 51.50, 93.75, 53.15,      8, -0.55053
H1,  1998,     3,   200,   500, 414.27,175.28,383.00, 66.12,     17, 0.80537
H1,  1998,     4,   200,   500, 557.96,112.36,368.00, 62.91,     13, 0.43838
H1,  1998,     5,   200,   500, 182.96, 32.17,268.55, 49.02,     31, 0.39748
H1,  1998,     6,    20,   200,  67.17, 28.92,150.37, 30.80,     30, 0.9483
H1,  1998,     7,    20,   200,  18.61, 10.08, 70.45, 21.13,     31, 0.9829
H1,  1998,     8,    20,   200,   9.31,  0.71, 28.00,  8.14,     22, 0.918
H1,  1998,     8,     0,    20,   8.86,  0.07, 17.83,  1.90,     12, 0.51213
H1,  1998,     9,     0,    20,   8.29,  0.40,  6.78,  2.17,     30, 0.2799
H1,  1999,    10,     0,    20,   5.97,  0.12,  0.00,  0.00,     31, 
H1,  1999,    11,     0,    20,   7.44,  0.76,  0.13,  0.49,     30, -0.084694
H1,  1999,    12,     0,    20,  10.38, 15.17,  0.00,  0.00,     31, 
H1,  1999,     1,    20,   200,  18.07, 15.22, 64.83, 49.77,     29, 0.51582
H1,  1999,     1,     0,    20,  14.81,  0.14, 19.50,  0.58,      4, -0.72095
H1,  1999,     2,   200,   500, 372.16,  1.39,312.00, 96.96,      4, -0.71374
H1,  1999,     2,    20,   200, 248.77,137.57,153.05, 26.20,     22, 0.34748
H1,  1999,     3,   200,   500, 350.90, 67.09,280.00, 64.12,      7, -0.52909
H1,  1999,     3,    20,   200, 262.20, 63.35,123.79, 19.74,     24, -0.53801
H1,  1999,     4,   200,   500, 335.78, 38.76,267.00, 73.12,     15, 0.37951
H1,  1999,     4,    20,   200, 310.29, 48.38,161.69, 23.37,     16, 0.61523
H1,  1999,     5,    20,   200,  86.93, 81.40, 77.16, 22.22,     31, 0.88215
H1,  1999,     6,    20,   200,  17.05,  1.82, 33.80, 10.83,     25, 0.91412
H1,  1999,     6,     0,    20,  12.01,  0.94, 15.33,  3.78,      6, 0.9774
H1,  1999,     7,     0,    20,   7.96,  0.91,  3.05,  3.00,     31, 0.93884
H1,  1999,     8,     0,    20,   6.54,  0.44,  0.12,  0.17,     31, 0.72115
H1,  1999,     9,     0,    20,   5.78,  0.24,  0.00,  0.01,     30, -0.29819
H1,  2000,    10,     0,    20,   7.11,  1.09,  0.05,  0.14,     31, 0.24236
H1,  2000,    11,     0,    20,   6.44,  3.48,  0.00,  0.01,     30, 0.03109
H1,  2000,    12,     0,    20,   8.26,  0.56,  5.41,  2.46,     31, -0.053989
H1,  2000,     1,    20,   200,  22.74, 12.17,168.40, 25.56,      5, -0.11399
H1,  2000,     1,     0,    20,   0.99,  0.18,  0.44,  1.23,     22, -0.17255
H1,  2000,     2,   200,   500, 480.05,210.06,378.60, 89.47,      5, 0.90225
H1,  2000,     2,    20,   200,  54.09, 41.81,124.90, 19.42,     10, -0.69581
H1,  2000,     3,   200,   500, 585.94,195.48,336.87, 96.34,     15, 0.95469
H1,  2000,     3,    20,   200, 271.92, 10.31,167.14, 17.37,      7, 0.98468
H1,  2000,     4,    20,   200, 141.36, 65.07,105.59, 22.76,     29, -0.21582
H1,  2000,     5,    20,   200,  80.16, 48.14, 55.61, 12.38,     31, 0.9085
H1,  2000,     6,    20,   200,  16.72,  4.44, 31.31,  5.94,     16, 0.83802
H1,  2000,     6,     0,    20,   6.98,  1.19, 12.71,  4.73,     16, 0.73034
H1,  2000,     7,     0,    20,   5.45,  0.81,  2.92,  2.11,     31, -0.44247
H1,  2000,     8,     0,    20,   5.01,  0.23,  0.00,  0.00,     31, 0.31554
H1,  2000,     9,     0,    20,   8.55,  7.45,  0.01,  0.06,     30, -0.082091
H1,  2001,    10,     0,    20,   4.36,  0.37,  0.00,  0.00,     31, 
H1,  2001,    11,     0,    20,   6.39,  1.43,  0.03,  0.07,     30, 0.011508
H1,  2001,    12,   200,   500, 165.07,124.02,298.67, 25.89,      3, 0.32579
H1,  2001,    12,    20,   200,  80.66, 85.70, 71.35, 54.73,     26, 0.66032
H1,  2001,     1,    20,   200, 137.79, 75.49, 93.25, 40.24,     20, 0.012784
H1,  2001,     1,     0,    20,   7.38,  0.18,  5.41,  2.40,      9, 0.30993
H1,  2001,     2,   200,   500, 453.65,136.55,281.38, 42.54,     13, 0.23235
H1,  2001,     2,    20,   200, 251.82,124.76, 97.40, 41.00,     15, 0.80808
H1,  2001,     3,   200,   500, 591.88, 96.56,285.42, 84.66,     12, 0.86637
H1,  2001,     3,    20,   200, 331.96, 31.92,129.29, 31.87,     14, 0.99173
H1,  2001,     4,    20,   200, 193.09, 55.30, 88.57, 14.72,     30, -0.13001
H1,  2001,     5,    20,   200,  86.36, 81.71, 38.32, 14.91,     31, 0.95927
H1,  2001,     6,     0,    20,   7.30,  4.75,  5.91,  6.40,     30, 0.20619
H1,  2001,     7,     0,    20,   3.96,  1.10,  0.00,  0.01,     31, 0.27095
H1,  2001,     8,     0,    20,   3.45,  0.16,  0.00,  0.00,     31, 
H1,  2001,     9,     0,    20,   3.65,  0.36,  0.00,  0.00,     30, 
H1,  2002,    10,     0,    20,   0.02,  0.01,  0.00,  0.00,     31, 
H1,  2002,    11,     0,    20,  39.77, 34.15,  0.00,  0.01,     30, -0.26836
H1,  2002,    12,   200,   500, 770.80,138.29,361.33,107.92,      9, 0.43218
H1,  2002,    12,    20,   200, 481.31,391.01,158.67, 33.61,      3, 0.9449
H1,  2002,    12,     0,    20,  37.32, 13.77,  0.01,  0.02,     14, -0.10147
H1,  2002,     1,   200,   500, 234.32,  1.03,256.17, 58.15,      6, -0.15374
H1,  2002,     1,    20,   200, 221.04, 25.68, 86.20, 36.85,     25, 0.64708
H1,  2002,     2,    20,   200, 112.92, 33.32, 62.64, 17.38,     28, 0.20749
H1,  2002,     3,    20,   200, 109.35, 13.82, 73.03, 28.77,     31, -0.12299
H1,  2002,     4,    20,   200,  61.21, 26.51, 46.53, 12.45,     30, 0.90327
H1,  2002,     5,    20,   200,  15.94,  5.85, 25.58,  4.34,     12, 0.74372
H1,  2002,     5,     0,    20,   9.04,  3.68, 15.62,  3.12,     20, 0.73629
H1,  2002,     6,     0,    20,   6.90,  1.59,  2.02,  3.01,     30, 0.048606
H1,  2002,     7,     0,    20,   1.67,  0.36,  0.00,  0.00,     31, 
H1,  2002,     8,     0,    20,   1.75,  0.23,  0.00,  0.00,     31, 
H1,  2002,     9,     0,    20,   1.99,  0.67,  0.00,  0.00,     30, 
H1,  2003,    10,     0,    20,   4.54,  0.26,  0.01,  0.07,     31, 0.12355
H1,  2003,    11,     0,    20,   6.27,  0.49,  0.03,  0.10,     30, 0.080886
H1,  2003,    12,     0,    20,   7.18,  0.64,  0.47,  2.05,     29, -0.67001
H1,  2003,     1,   200,   500, 659.59,151.43,304.23, 73.13,     13, 0.70708
H1,  2003,     1,    20,   200, 377.31,157.62,142.22, 34.72,     18, 0.75879
H1,  2003,     2,    20,   200, 211.08, 56.88, 77.64,  8.32,     28, 0.031712
H1,  2003,     3,    20,   200, 141.17, 63.33, 80.33, 31.04,     30, 0.28824
H1,  2003,     4,    20,   200, 172.00,102.09,105.25, 43.22,     28, 0.70705
H1,  2003,     5,    20,   200, 186.56, 49.43,102.23, 38.85,     31, 0.62904
H1,  2003,     6,    20,   200,  36.37, 16.88, 32.52,  9.35,     25, 0.95672
H1,  2003,     6,     0,    20,   5.94,  1.62, 12.50,  4.63,      5, 0.98476
H1,  2003,     7,     0,    20,   4.54,  0.87,  1.66,  2.09,     31, -0.028939
H1,  2003,     8,     0,    20,   3.93,  0.11,  0.00,  0.00,     31, 
H1,  2003,     9,     0,    20,   3.84,  0.22,  0.00,  0.00,     30, 
H1,  2004,    10,     0,    20,   3.06,  1.66,  0.05,  0.15,     31, 0.067919
H1,  2004,    11,     0,    20,   0.56,  0.07,  0.00,  0.00,     30, 
H1,  2004,    12,     0,    20,  16.27, 16.73,  0.33,  1.38,     28, 0.43066
H1,  2004,     1,    20,   200, 465.88,255.87, 48.24, 34.12,     29, 0.71354
H1,  2004,     2,   200,   500, 622.11,270.21,302.80,115.89,      5, 0.31391
H1,  2004,     2,    20,   200, 364.44,106.10, 88.40, 45.32,     20, 0.75048
H1,  2004,     3,   200,   500, 711.27,  1.40,298.43, 72.72,      7, 0.90431
H1,  2004,     3,    20,   200, 332.55,210.60,104.50, 41.39,     24, 0.91829
H1,  2004,     4,    20,   200,  67.68, 39.35, 34.84, 10.71,     25, 0.92042
H1,  2004,     4,     0,    20,  28.70,  7.00, 16.00,  2.61,      6, 0.96473
H1,  2004,     5,     0,    20,  10.71,  4.53,  7.12,  2.61,     31, 0.72652
H1,  2004,     6,     0,    20,   7.29,  2.76,  0.16,  0.40,     30, 0.46382
H1,  2004,     7,     0,    20,   1.85,  0.37,  0.00,  0.00,     31, 
H1,  2004,     8,     0,    20,   1.36,  0.06,  0.00,  0.00,     31, 
H1,  2004,     9,     0,    20,   1.43,  0.25,  0.00,  0.00,     30, 
H1,  2005,    10,     0,    20,   4.16,  0.10,  0.00,  0.00,     31, 
H1,  2005,    11,     0,    20,   4.33,  0.13,  0.00,  0.00,     30, 
H1,  2005,    12,    20,   200,  34.08, 41.16, 60.20, 13.10,      5, 0.46981
H1,  2005,    12,     0,    20,   6.48,  1.24,  0.81,  3.60,     25, -0.3349
H1,  2005,     1,   200,   500, 707.78, 57.16,301.75, 79.04,     16, 0.31388
H1,  2005,     1,    20,   200, 722.69,  0.31,189.00,  7.00,      3, 0.6595
H1,  2005,     2,   200,   500, 568.93,131.04,338.80,122.59,      5, -0.44561
H1,  2005,     2,    20,   200, 457.14, 56.78,172.23, 14.13,     13, 0.79337
H1,  2005,     3,   200,   500, 492.02, 65.64,335.63, 83.74,     19, 0.49595
H1,  2005,     4,   200,   500, 655.25,164.51,300.15, 66.68,     20, 0.93474
H1,  2005,     4,    20,   200, 210.91,112.94,169.36, 17.94,     11, 0.81028
H1,  2005,     5,    20,   200,  89.18, 34.63,101.68, 25.82,     31, 0.97276
H1,  2005,     6,    20,   200,  17.76,  8.94, 40.90, 11.52,     30, 0.98665
H1,  2005,     7,    20,   200,   4.70,  0.39, 22.25,  1.71,      4, 0.95844
H1,  2005,     7,     0,    20,   5.97,  3.31,  8.67,  5.93,     28, 0.014672
H1,  2005,     8,     0,    20,   4.70,  0.27,  0.52,  0.39,     31, 0.89998
H1,  2005,     9,     0,    20,   4.17,  0.11,  0.00,  0.00,     30, 
H1,  2006,    10,     0,    20,   6.01,  0.23,  0.00,  0.00,     31, 
H1,  2006,    11,     0,    20,   5.79,  0.48,  0.00,  0.01,     30, -0.14437
H1,  2006,    12,     0,    20,   7.25,  0.52,  0.04,  0.12,     31, -0.39113
H1,  2006,     1,   200,   500, 771.58,  0.13,282.33, 62.42,      3, -0.98428
H1,  2006,     1,    20,   200, 492.39,137.61,132.04, 29.58,     24, 0.57225
H1,  2006,     2,    20,   200, 269.55, 88.73, 59.07, 15.79,     27, 0.18054
H1,  2006,     3,   200,   500, 671.05, 58.14,423.36, 29.99,     25, -0.10329
H1,  2006,     4,   200,   500, 394.89,133.67,382.73, 64.52,     11, 0.81059
H1,  2006,     5,   200,   500, 176.78, 40.27,236.86, 20.78,      7, 0.96037
H1,  2006,     5,    20,   200,  86.17, 41.79,131.83, 33.50,     24, 0.83617
H1,  2006,     6,    20,   200,  28.62, 14.40, 52.77, 18.21,     30, 0.9756
H1,  2006,     7,    20,   200,   6.15,  0.79, 21.17,  1.17,      6, 0.9187
H1,  2006,     7,     0,    20,   5.76,  2.72,  8.50,  6.75,     27, 0.29967
H1,  2006,     8,     0,    20,   5.23,  0.29,  0.42,  0.40,     31, -0.70414
H1,  2006,     9,     0,    20,   7.80,  9.21,  0.00,  0.01,     30, -0.12152
H1,  2007,    10,     0,    20,   2.58,  0.28,  0.00,  0.00,     31, 
H1,  2007,    11,     0,    20,   2.32,  0.25,  0.00,  0.00,     30, 
H1,  2007,    12,     0,    20,   3.71,  0.49,  0.00,  0.02,     31, 0.027568
H1,  2007,     1,     0,    20,   2.91,  2.57,  3.50,  3.26,     31, -0.55494
H1,  2007,     2,    20,   200,  40.29, 15.13, 54.12, 36.80,     16, -0.30876
H1,  2007,     2,     0,    20,   1.75,  0.08,  7.69,  3.27,     11, 0.016921
H1,  2007,     3,    20,   200, 124.00, 37.78, 50.20, 36.19,     30, 0.8726
H1,  2007,     3,     0,    20,  78.26,  6.02, 19.50,  1.00,      4, 0.66066
H1,  2007,     4,     0,    20,  59.58, 11.74, 12.63,  2.40,     30, -0.51332
H1,  2007,     5,     0,    20,  20.60, 15.15,  2.73,  3.17,     31, 0.94744
H1,  2007,     6,     0,    20,   6.43,  2.38,  0.02,  0.04,     30, 0.59291
H1,  2007,     7,     0,    20,   1.15,  0.22,  0.00,  0.00,     31, 
H1,  2007,     8,     0,    20,   1.22,  0.16,  0.00,  0.00,     31, 
H1,  2007,     9,     0,    20,   1.36,  0.47,  0.00,  0.00,     30, 
H1,  2008,    10,     0,    20,   1.22,  0.23,  0.00,  0.00,     31, 
H1,  2008,    11,     0,    20,   1.96,  0.45,  0.00,  0.00,     30, 
H1,  2008,    12,     0,    20,   2.96,  0.37,  0.00,  0.00,     31, 
H1,  2008,     1,   200,   500, 471.34,409.13,357.00,102.14,      3, 0.36537
H1,  2008,     1,    20,   200, 209.12, 85.47, 61.75, 47.01,      8, -0.82942
H1,  2008,     1,     0,    20, 186.71,119.77,  7.54,  5.45,     14, 0.78707
H1,  2008,     2,   200,   500, 844.38,238.39,336.21, 76.90,     14, 0.15811
H1,  2008,     2,    20,   200, 445.69, 78.13,139.75, 24.40,     12, 0.90999
H1,  2008,     3,   200,   500, 827.40,314.67,242.75, 28.57,      4, 0.89877
H1,  2008,     3,    20,   200, 334.36, 21.90,101.74, 39.14,     27, 0.85542
H1,  2008,     4,    20,   200, 110.29, 82.18, 36.33, 12.49,     27, 0.95214
H1,  2008,     4,     0,    20,  33.46,  2.79, 18.50,  1.29,      4, 0.97603
H1,  2008,     5,     0,    20,  11.59,  6.48,  8.57,  5.14,     31, 0.88416
H1,  2008,     6,     0,    20,   6.96,  2.93,  1.18,  1.57,     30, 0.72275
H1,  2008,     7,     0,    20,   1.12,  0.41,  0.00,  0.00,     31, 
H1,  2008,     8,     0,    20,   0.94,  0.17,  0.00,  0.00,     31, 
H1,  2008,     9,     0,    20,   0.75,  0.39,  0.00,  0.00,     30, 
H1,  2009,    10,    20,   200,   8.50,  2.50, 60.33, 54.62,      9, 0.97169
H1,  2009,    10,     0,    20,   2.59,  4.35,  6.35,  7.87,     22, 0.63996
H1,  2009,    11,     0,    20,   7.78,  3.45, 11.47,  0.82,     30, -0.15269
H1,  2009,    12,    20,   200,  34.47, 23.30, 73.50, 42.85,     20, -0.69341
H1,  2009,    12,     0,    20,   4.74,  0.54, 13.55,  2.98,     11, 0.95744
H1,  2009,     1,     0,    20,   2.61,  2.54,  0.00,  0.00,     31, 
H1,  2009,     2,   200,   500, 698.05,261.47,319.80, 82.57,     10, 0.0071354
H1,  2009,     2,     0,    20,  44.75, 41.18,  0.39,  1.50,     15, 0.30343
H1,  2009,     3,   200,   500, 935.15,265.26,306.27, 90.10,     11, 0.33522
H1,  2009,     3,    20,   200, 534.96,168.39,141.31, 31.63,     16, 0.95225
H1,  2009,     4,    20,   200, 179.82,116.76, 63.13, 17.47,     30, 0.89831
H1,  2009,     5,    20,   200,  24.22,  4.60, 32.08, 10.96,     26, 0.83493
H1,  2009,     5,     0,    20,  11.00,  1.54, 17.17,  2.14,      6, 0.95164
H1,  2009,     6,     0,    20,   3.07,  2.84, 10.37,  4.70,     30, 0.25266
H1,  2009,     7,     0,    20,   0.50,  0.49,  0.41,  0.43,     31, 0.91682
H1,  2009,     8,     0,    20,   0.14,  0.12,  0.00,  0.00,     31, 
H1,  2009,     9,     0,    20,   0.03,  0.04,  0.00,  0.00,     30, 
H1,  2010,     1,   200,   500, 695.09,  0.48,396.00, 59.30,      4, -0.75506
H1,  2010,     1,    20,   200,  41.14,  8.05, 44.78, 17.46,     18, -0.57623
H1,  2010,     2,   200,   500, 490.22,128.80,305.88, 76.19,     26, 0.38664
H1,  2010,     3,   200,   500, 485.79, 50.46,318.29, 88.89,     17, 0.45247
H1,  2010,     3,    20,   200, 253.05, 27.76,181.38, 11.65,      8, 0.9743
H1,  2010,     4,   200,   500, 433.58,163.08,307.96, 66.69,     23, 0.28771
H1,  2010,     4,    20,   200, 202.52, 13.56,169.00, 14.88,      5, -0.87204
H1,  2010,     5,   200,   500, 358.27, 91.95,214.75, 11.53,      4, 0.98581
H1,  2010,     5,    20,   200,  91.24, 55.77,133.56, 30.61,     27, 0.96903
H1,  2010,     6,    20,   200,  25.22, 10.95, 57.63, 13.82,     30, 0.91869
H1,  2010,     7,    20,   200,   3.72,  4.08, 26.44,  4.35,     16, -0.22046
H1,  2010,     7,     0,    20,   4.18,  3.87, 14.17,  3.33,     16, 0.45766
H1,  2010,     8,     0,    20,   2.86,  0.32,  4.21,  2.81,     31, 0.94485
H1,  2010,     9,     0,    20,   2.19,  0.17,  0.13,  0.09,     30, 0.039643
ALP,  1995,     1,   200,   500, 650.38,138.57,348.64, 64.73,     11, 0.17892
ALP,  1995,     1,    20,   200, 216.44, 35.02,159.33, 16.62,      3, -0.76872
ALP,  1995,     3,   200,   500, 519.73, 53.74,352.36, 51.25,     11, 0.79054
ALP,  1995,     3,    20,   200, 108.75, 12.08,124.12, 36.07,      8, 0.19221
ALP,  1995,     4,   200,   500, 340.41, 59.01,249.86, 30.68,      7, 0.98746
ALP,  1995,     4,    20,   200, 148.82, 22.74,147.47, 29.38,     19, 0.87857
ALP,  1997,    12,    20,   200, 310.24, 46.91, 56.00, 41.00,     13, 0.091311
ALP,  1997,    12,     0,    20, 205.88, 49.75, 13.80,  2.35,     10, 0.96528
ALP,  1998,     1,   200,   500, 299.56, 99.44,317.67, 91.92,     15, -0.16255
ALP,  1998,     1,    20,   200, 227.36, 57.84,108.14, 51.36,     14, 0.7018
ALP,  1998,     3,   200,   500, 403.09, 84.57,295.18, 71.48,     11, 0.94286
ALP,  1998,     3,    20,   200, 211.84, 71.96,159.25, 24.33,     20, 0.59903
ALP,  1998,     4,   200,   500, 321.46, 25.13,231.94, 21.97,     16, -0.74905
ALP,  1998,     4,    20,   200, 236.57, 72.76,151.57, 24.27,     14, 0.97015
Los_Padres_Res,  2001,    10,     0,    20,   8.00,  0.00,  7.21,  0.21,     31, 1.7917e-14
Los_Padres_Res,  2001,    11,     0,    20,   8.00,  0.00,  8.78,  2.19,     30, 3.8463e-16
Los_Padres_Res,  2001,    12,   200,   500,  92.29,106.57,283.00, 34.82,      4, -0.94785
Los_Padres_Res,  2001,    12,    20,   200, 132.21, 55.61, 76.27, 44.86,     26, 0.080483
Los_Padres_Res,  2002,    10,     0,    20,   0.00,  0.00,  6.65,  0.15,     31, 
Los_Padres_Res,  2002,    11,    20,   200,  80.42, 32.06, 43.70, 29.46,     10, 0.32074
Los_Padres_Res,  2002,    11,     0,    20,  26.77, 22.82, 12.29,  5.12,     20, 0.98701
Los_Padres_Res,  2002,    12,   200,   500, 515.28,198.23,295.64, 61.16,     11, 0.25182
Los_Padres_Res,  2002,    12,    20,   200, 411.57,187.82,147.33, 26.80,      6, -0.24679
Los_Padres_Res,  2002,    12,     0,    20,  28.43,  3.52, 13.92,  1.50,     13, 0.019545
Los_Padres_Res,  2002,     1,   200,   500, 254.20, 26.24,238.00, 35.03,      3, 0.27917
