Gage, Time Start, Time Stop, Cutoff min (cfs), Cutoff max (cfs), Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
H1,01-Oct-2004,30-Sep-2005,   0,  20,  5.65,  8.29,  1.52,  3.92,   178,0.0760
H1,01-Oct-2004,30-Sep-2005,  20, 200,149.59,185.90, 99.29, 57.40,    93,0.8326
H1,01-Oct-2004,30-Sep-2005, 200, 500,603.57,149.76,316.21, 80.39,    61,0.1687
H1,01-Oct-2005,30-Sep-2006,   0,10000,192.13,277.97,158.79,330.92,   365,0.7243
H1,01-Oct-2005,30-Sep-2006,   0,  20,  5.59,  4.15,  1.51,  4.22,   174,0.0524
H1,01-Oct-2005,30-Sep-2006,  20, 200,191.63,196.11, 85.68, 46.18,   116,0.4899
H1,01-Oct-2005,30-Sep-2006, 200, 500,536.36,211.57,376.07, 80.56,    46,0.6565
H1,01-Oct-2006,30-Sep-2007,   0,10000, 21.66, 37.21,  8.94, 23.69,   365,0.6814
H1,01-Oct-2006,30-Sep-2007,   0,  20, 11.65, 19.15,  2.30,  4.60,   321,0.8204
H1,01-Oct-2006,30-Sep-2007,  20, 200, 94.88, 51.19, 51.57, 36.04,    46,0.3443
H1,01-Oct-2007,30-Sep-2008,   0,10000,131.78,274.06, 58.58,175.93,   366,0.7976
H1,01-Oct-2007,30-Sep-2008,   0,  20, 13.94, 49.27,  1.83,  4.31,   263,0.4761
H1,01-Oct-2007,30-Sep-2008,  20, 200,257.12,143.09, 79.72, 49.05,    74,0.7824
H1,01-Oct-2007,30-Sep-2008, 200, 500,787.85,293.44,321.38, 81.18,    21,0.1216
H1,01-Oct-2008,30-Sep-2009,   0,10000,106.34,257.72, 54.10,173.29,   365,0.7006
H1,01-Oct-2008,30-Sep-2009,   0,  20,  4.21, 13.90,  1.63,  4.34,   266,0.0573
H1,01-Oct-2008,30-Sep-2009,  20, 200,202.55,219.84, 69.29, 45.50,    72,0.9716
H1,01-Oct-2008,30-Sep-2009, 200, 500,822.25,284.03,312.71, 84.71,    21,0.1345
H1,01-Oct-2009,30-Sep-2010,   0,10000,157.88,245.44,141.92,232.08,   365,0.8180
H1,01-Oct-2009,30-Sep-2010,   0,  20,  4.03,  3.38,  7.10,  6.21,   140,0.5636
H1,01-Oct-2009,30-Sep-2010,  20, 200, 58.82, 70.62, 81.75, 53.82,   133,0.7901
H1,01-Oct-2009,30-Sep-2010, 200, 500,475.54,136.57,309.32, 78.33,    74,0.4114
ALP,01-Oct-1994,30-Sep-1995,   0,10000,416.81,273.26,468.90,602.79,    83,0.1889
ALP,01-Oct-1994,30-Sep-1995,  20, 200,144.90, 36.62,142.43, 31.74,    30,0.5801
ALP,01-Oct-1994,30-Sep-1995, 200, 500,526.00,152.77,326.21, 67.53,    29,0.6114
ALP,01-Oct-1997,30-Sep-1998,   0,10000,416.17,356.99,332.13,446.74,   143,0.6932
ALP,01-Oct-1997,30-Sep-1998,   0,  20,196.18, 50.40, 14.00,  2.76,    12,0.5731
ALP,01-Oct-1997,30-Sep-1998,  20, 200,242.05, 72.94,123.75, 53.62,    61,-0.0385
ALP,01-Oct-1997,30-Sep-1998, 200, 500,341.08, 92.40,283.84, 81.29,    43,0.2644
Los_Padres_Res,01-Oct-2001,30-Sep-2002,   0,10000, 41.96, 56.35, 34.07, 44.09,   365,0.6943
Los_Padres_Res,01-Oct-2001,30-Sep-2002,   0,  20,  7.36,  2.83,  9.70,  3.71,   194,0.5894
Los_Padres_Res,01-Oct-2001,30-Sep-2002,  20, 200, 76.17, 57.33, 52.31, 30.55,   168,0.6503
Los_Padres_Res,01-Oct-2001,30-Sep-2002, 200, 500,161.68,115.75,263.71, 39.92,     7,-0.8126
Los_Padres_Res,01-Oct-2002,30-Sep-2003,   0,10000, 90.47,134.07, 56.58, 78.63,   365,0.7133
Los_Padres_Res,01-Oct-2002,30-Sep-2003,   0,  20, 11.56, 12.03, 11.77,  3.96,   159,0.5778
Los_Padres_Res,01-Oct-2002,30-Sep-2003,  20, 200,121.39,110.14, 67.60, 37.36,   193,0.8323
Los_Padres_Res,01-Oct-2002,30-Sep-2003, 200, 500,434.59,234.25,270.68, 60.90,    19,0.3866
Los_Padres_Res,01-Oct-2003,30-Sep-2004,   0,10000, 72.77,127.71, 35.34, 78.29,   366,0.6029
Los_Padres_Res,01-Oct-2003,30-Sep-2004,   0,  20,  8.74,  2.19,  9.08,  3.20,   243,0.5458
Los_Padres_Res,01-Oct-2003,30-Sep-2004,  20, 200,181.30,147.96, 55.96, 39.53,   114,0.6459
Los_Padres_Res,01-Oct-2003,30-Sep-2004, 200, 500,329.03,172.22,298.88, 93.77,     8,-0.4604
Los_Padres_Res,01-Oct-2004,30-Sep-2005,   0,10000,115.53,166.42,102.45,167.60,   365,0.7625
Los_Padres_Res,01-Oct-2004,30-Sep-2005,   0,  20,  7.75,  5.62, 12.77,  3.37,   165,0.2384
Los_Padres_Res,01-Oct-2004,30-Sep-2005,  20, 200,132.03,126.73, 82.05, 50.14,   151,0.8390
Los_Padres_Res,01-Oct-2004,30-Sep-2005, 200, 500,371.48,137.57,301.45, 78.71,    38,0.4582
Los_Padres_Res,01-Oct-2005,30-Sep-2006,   0,10000,107.63,153.45,103.30,190.68,   365,0.7213
Los_Padres_Res,01-Oct-2005,30-Sep-2006,   0,  20,  7.88,  2.28, 11.36,  2.97,   168,0.3247
Los_Padres_Res,01-Oct-2005,30-Sep-2006,  20, 200,110.26,111.33, 65.51, 40.98,   137,0.6027
Los_Padres_Res,01-Oct-2005,30-Sep-2006, 200, 500,351.86, 70.04,294.56, 75.32,    43,-0.0267
Los_Padres_Res,01-Oct-2006,30-Sep-2007,   0,10000, 19.90, 24.60, 12.49, 17.63,   365,0.6033
Los_Padres_Res,01-Oct-2006,30-Sep-2007,   0,  20, 14.12, 16.43,  8.15,  3.88,   324,0.6258
Los_Padres_Res,01-Oct-2006,30-Sep-2007,  20, 200, 65.35, 29.54, 45.51, 36.30,    43,0.2281
Los_Padres_Res,01-Oct-2007,30-Sep-2008,   0,10000, 70.92,140.98, 45.20,110.86,   366,0.7425
Los_Padres_Res,01-Oct-2007,30-Sep-2008,   0,  20,  7.57,  1.73,  6.99,  4.35,   243,0.5199
Los_Padres_Res,01-Oct-2007,30-Sep-2008,  20, 200,151.27,120.97, 63.05, 43.61,   106,0.8562
Los_Padres_Res,01-Oct-2007,30-Sep-2008, 200, 500,400.24,229.21,309.82, 78.40,    11,-0.7280
Los_Padres_Res,01-Oct-2008,30-Sep-2009,   0,10000, 56.61,124.61, 49.18,126.34,   365,0.7823
Los_Padres_Res,01-Oct-2008,30-Sep-2009,   0,  20,  6.75,  4.59,  8.66,  3.72,   231,0.3372
Los_Padres_Res,01-Oct-2008,30-Sep-2009,  20, 200, 84.82,103.29, 53.95, 39.93,   118,0.9608
Los_Padres_Res,01-Oct-2008,30-Sep-2009, 200, 500,451.79,158.14,318.23, 98.93,    13,0.2622
Los_Padres_Res,01-Oct-2009,30-Sep-2010,   0,10000,100.49,144.84, 97.22,137.01,   365,0.7887
Los_Padres_Res,01-Oct-2009,30-Sep-2010,   0,  20,  8.30,  1.27, 14.71,  3.28,   105,0.5296
Los_Padres_Res,01-Oct-2009,30-Sep-2010,  20, 200, 81.74, 91.89, 74.04, 51.35,   219,0.9122
Los_Padres_Res,01-Oct-2009,30-Sep-2010, 200, 500,341.31,144.67,289.87, 74.51,    45,0.0827
DJ,01-Oct-1992,30-Sep-1993,   0,10000,195.61,360.55,168.72,392.54,   365,0.8115
DJ,01-Oct-1992,30-Sep-1993,   0,  20, 21.95,  9.61,  4.69,  3.71,   187,-0.1497
DJ,01-Oct-1992,30-Sep-1993,  20, 200,100.88, 97.59, 84.17, 56.03,   103,0.8896
DJ,01-Oct-1992,30-Sep-1993, 200, 500,498.35,267.72,310.86, 82.53,    44,0.4514
DJ,01-Oct-1993,30-Sep-1994,   0,10000, 54.14, 85.16, 17.62, 45.12,   365,0.6987
DJ,01-Oct-1993,30-Sep-1994,   0,  20, 28.53, 19.08,  6.27,  5.34,   309,0.8248
DJ,01-Oct-1993,30-Sep-1994,  20, 200,172.44,136.52, 55.28, 40.33,    53,0.4327
DJ,01-Oct-1993,30-Sep-1994, 200, 500,404.16,115.23,262.75, 39.81,     4,0.1377
DJ,01-Oct-1994,30-Sep-1995,   0,10000,228.37,380.24,239.80,663.39,   365,0.5121
DJ,01-Oct-1994,30-Sep-1995,   0,  20, 16.88,  1.62,  5.49,  4.88,   166,-0.4165
DJ,01-Oct-1994,30-Sep-1995,  20, 200,116.87,100.36,105.92, 56.13,   118,0.7657
DJ,01-Oct-1994,30-Sep-1995, 200, 500,499.62,337.52,291.68, 78.74,    37,0.6863
DJ,01-Oct-1995,30-Sep-1996,   0,10000,106.73,176.90,114.45,236.25,   366,0.7600
DJ,01-Oct-1995,30-Sep-1996,   0,  20, 17.10,  7.60, 10.43,  3.69,   186,0.4811
DJ,01-Oct-1995,30-Sep-1996,  20, 200, 91.29, 74.81, 86.92, 52.82,   131,0.8141
DJ,01-Oct-1995,30-Sep-1996, 200, 500,362.31,134.66,312.07, 88.34,    28,0.6176
DJ,01-Oct-1996,30-Sep-1997,   0,10000,153.30,280.01,154.38,369.80,   365,0.6727
DJ,01-Oct-1996,30-Sep-1997,   0,  20, 14.16, 18.52,  7.43,  3.61,   183,0.1047
DJ,01-Oct-1996,30-Sep-1997,  20, 200, 81.88,111.72, 68.46, 46.94,   117,0.8806
DJ,01-Oct-1996,30-Sep-1997, 200, 500,603.85,178.11,318.14, 81.16,    36,0.0523
DJ,01-Oct-1997,30-Sep-1998,   0,10000,320.56,540.10,348.39,718.44,   365,0.7571
DJ,01-Oct-1997,30-Sep-1998,   0,  20, 11.98,  2.22,  8.54,  6.10,    82,0.9752
DJ,01-Oct-1997,30-Sep-1998,  20, 200,115.17,154.39, 83.22, 52.08,   144,0.3157
DJ,01-Oct-1997,30-Sep-1998, 200, 500,354.17,177.09,314.32, 78.78,    71,0.6661
DJ,01-Oct-1998,30-Sep-1999,   0,10000, 83.86,118.80, 74.00,103.35,   365,0.6709
DJ,01-Oct-1998,30-Sep-1999,   0,  20, 13.35,  1.05,  9.27,  4.76,   103,0.8782
DJ,01-Oct-1998,30-Sep-1999,  20, 200, 84.35,109.64, 71.87, 52.79,   237,0.7754
DJ,01-Oct-1998,30-Sep-1999, 200, 500,327.10, 66.57,263.89, 55.82,    27,0.1932
DJ,01-Oct-1999,30-Sep-2000,   0,10000,104.31,198.86,101.87,232.62,   366,0.5968
DJ,01-Oct-1999,30-Sep-2000,   0,  20, 12.39,  4.48,  9.11,  3.34,   205,-0.0685
DJ,01-Oct-1999,30-Sep-2000,  20, 200, 96.65, 81.44, 79.76, 46.77,   116,0.8161
DJ,01-Oct-1999,30-Sep-2000, 200, 500,508.00,265.81,355.27, 88.02,    26,0.4401
DJ,01-Oct-2000,30-Sep-2001,   0,10000,103.17,164.85, 68.18,144.30,   365,0.7652
DJ,01-Oct-2000,30-Sep-2001,   0,  20, 11.78,  2.12, 10.58,  5.01,   207,0.4570
DJ,01-Oct-2000,30-Sep-2001,  20, 200,149.82,113.00, 76.18, 42.77,   130,0.7550
DJ,01-Oct-2000,30-Sep-2001, 200, 500,439.45,172.64,279.77, 64.85,    26,0.1644
DJ,01-Oct-2001,30-Sep-2002,   0,10000, 57.35, 72.01, 43.28, 58.28,   365,0.7029
DJ,01-Oct-2001,30-Sep-2002,   0,  20, 10.35,  2.47,  6.59,  4.59,   178,0.7286
DJ,01-Oct-2001,30-Sep-2002,  20, 200, 94.63, 72.72, 63.46, 30.87,   177,0.6240
DJ,01-Oct-2001,30-Sep-2002, 200, 500,197.65, 87.32,285.83, 66.19,    12,-0.3271
DJ,01-Oct-2002,30-Sep-2003,   0,10000,137.61,199.35, 83.46,134.77,   365,0.6946
DJ,01-Oct-2002,30-Sep-2003,   0,  20, 14.83, 14.51,  9.36,  5.39,   147,0.6978
DJ,01-Oct-2002,30-Sep-2003,  20, 200,153.99,127.09, 84.87, 43.20,   189,0.7839
DJ,01-Oct-2002,30-Sep-2003, 200, 500,526.63,271.93,294.00, 79.64,    25,0.4808
DJ,01-Oct-2003,30-Sep-2004,   0,10000,120.39,213.45, 52.80,139.74,   366,0.5582
DJ,01-Oct-2003,30-Sep-2004,   0,  20, 11.73,  3.02,  6.78,  4.45,   217,0.8099
DJ,01-Oct-2003,30-Sep-2004,  20, 200,220.83,226.05, 62.32, 43.83,   135,0.7332
DJ,01-Oct-2003,30-Sep-2004, 200, 500,640.73,207.20,305.92, 71.59,    13,-0.4499
DJ,01-Oct-2004,30-Sep-2005,   0,10000,199.29,289.24,168.30,293.08,   365,0.6922
DJ,01-Oct-2004,30-Sep-2005,   0,  20,  9.45,  2.62, 11.86,  4.56,   145,-0.1602
DJ,01-Oct-2004,30-Sep-2005,  20, 200,126.33,178.23, 83.94, 55.37,   128,0.7980
DJ,01-Oct-2004,30-Sep-2005, 200, 500,524.45,153.37,311.29, 83.30,    59,0.4569
DJ,01-Oct-2005,30-Sep-2006,   0,10000,178.58,253.37,163.36,311.58,   365,0.7205
DJ,01-Oct-2005,30-Sep-2006,   0,  20, 12.40,  6.55, 10.11,  2.69,   155,-0.0901
DJ,01-Oct-2005,30-Sep-2006,  20, 200,137.68,153.71, 80.22, 44.49,   131,0.5285
DJ,01-Oct-2005,30-Sep-2006, 200, 500,503.07,201.85,365.63, 83.48,    51,0.4812
DJ,01-Oct-2006,30-Sep-2007,   0,10000, 27.04, 34.01, 16.78, 26.39,   365,0.6262
DJ,01-Oct-2006,30-Sep-2007,   0,  20, 16.54, 17.68,  7.87,  5.94,   282,0.5533
DJ,01-Oct-2006,30-Sep-2007,  20, 200, 59.49, 48.65, 39.05, 27.24,    94,0.6374
DJ,01-Oct-2007,30-Sep-2008,   0,10000,122.29,239.52, 72.33,196.38,   366,0.7446
DJ,01-Oct-2007,30-Sep-2008,   0,  20, 10.22,  2.45,  5.37,  5.34,   233,0.7072
DJ,01-Oct-2007,30-Sep-2008,  20, 200,184.25,145.87, 72.76, 47.53,   110,0.9152
DJ,01-Oct-2007,30-Sep-2008, 200, 500,682.31,276.24,309.79, 74.92,    19,0.3602
DJ,01-Oct-2008,30-Sep-2009,   0,10000, 96.71,221.19, 65.89,190.55,   365,0.6953
DJ,01-Oct-2008,30-Sep-2009,   0,  20,  8.99,  2.12,  7.25,  3.90,   222,-0.0236
DJ,01-Oct-2008,30-Sep-2009,  20, 200,107.70,132.49, 61.19, 43.73,   118,0.9307
DJ,01-Oct-2008,30-Sep-2009, 200, 500,781.13,250.29,312.47, 87.74,    17,0.5371
DJ,01-Oct-2009,30-Sep-2010,   0,10000,152.94,227.03,146.78,220.02,   365,0.7898
DJ,01-Oct-2009,30-Sep-2010,   0,  20,  9.51,  1.23, 12.21,  4.07,    79,0.7110
DJ,01-Oct-2009,30-Sep-2010,  20, 200, 58.45, 78.09, 70.28, 50.89,   202,0.8409
DJ,01-Oct-2009,30-Sep-2010, 200, 500,435.59,168.05,316.66, 77.23,    68,0.3891
NC,01-Oct-1992,30-Sep-1993,   0,10000,203.24,395.60,170.52,385.03,   365,0.8604
NC,01-Oct-1992,30-Sep-1993,   0,  20, 19.99, 15.95,  0.77,  2.91,   192,-0.0009
NC,01-Oct-1992,30-Sep-1993,  20, 200, 84.41, 73.57, 74.52, 49.45,    92,0.9045
NC,01-Oct-1992,30-Sep-1993, 200, 500,464.94,261.31,327.62, 84.08,    45,0.6891
NC,01-Oct-1993,30-Sep-1994,   0,10000, 54.89, 97.70, 11.32, 41.30,   365,0.6832
NC,01-Oct-1993,30-Sep-1994,   0,  20, 27.33, 26.84,  1.88,  4.06,   322,0.8987
NC,01-Oct-1993,30-Sep-1994,  20, 200,235.63,159.60, 50.69, 33.95,    42,0.5466
NC,01-Oct-1993,30-Sep-1994, 200, 500,419.01,104.95,239.25, 49.57,     4,0.5902
NC,01-Oct-1994,30-Sep-1995,   0,10000,242.39,422.36,245.04,676.83,   365,0.5344
NC,01-Oct-1994,30-Sep-1995,   0,  20, 13.29, 17.27,  2.00,  3.68,   166,-0.0770
NC,01-Oct-1994,30-Sep-1995,  20, 200,111.04, 99.78,101.84, 53.06,   100,0.7570
NC,01-Oct-1994,30-Sep-1995, 200, 500,381.51,298.11,288.96, 78.57,    52,0.5665
NC,01-Oct-1995,30-Sep-1996,   0,10000,110.70,190.84,102.62,213.11,   366,0.7838
NC,01-Oct-1995,30-Sep-1996,   0,  20, 14.07,  9.00,  4.98,  4.72,   193,0.6452
NC,01-Oct-1995,30-Sep-1996,  20, 200, 95.17, 76.37, 81.37, 53.93,   117,0.8285
NC,01-Oct-1995,30-Sep-1996, 200, 500,408.28,185.90,316.19, 95.69,    37,0.7818
NC,01-Oct-1996,30-Sep-1997,   0,10000,172.26,329.81,143.83,369.65,   365,0.6185
NC,01-Oct-1996,30-Sep-1997,   0,  20, 10.48, 16.70,  1.98,  4.57,   194,0.1447
NC,01-Oct-1996,30-Sep-1997,  20, 200,119.98,160.89, 75.76, 49.88,   114,0.8400
NC,01-Oct-1996,30-Sep-1997, 200, 500,795.78,306.37,331.41, 80.29,    29,0.0655
NC,01-Oct-1997,30-Sep-1998,   0,10000,342.08,583.69,360.58,803.54,   365,0.6756
NC,01-Oct-1997,30-Sep-1998,   0,  20, 40.03,105.01,  5.22,  6.87,    98,0.3617
NC,01-Oct-1997,30-Sep-1998,  20, 200,115.61,180.35, 81.84, 55.69,   122,0.1398
NC,01-Oct-1997,30-Sep-1998, 200, 500,346.43,206.15,328.09, 84.92,    79,0.5452
NC,01-Oct-1998,30-Sep-1999,   0,10000, 85.85,129.59, 75.97,119.51,   365,0.6843
NC,01-Oct-1998,30-Sep-1999,   0,  20,  8.64,  3.19,  5.19,  6.95,   137,0.5099
NC,01-Oct-1998,30-Sep-1999,  20, 200, 96.64,127.32, 76.60, 54.81,   198,0.8132
NC,01-Oct-1998,30-Sep-1999, 200, 500,325.34, 73.45,273.23, 78.43,    31,0.4967
NC,01-Oct-1999,30-Sep-2000,   0,10000,104.28,214.96,104.95,229.18,   366,0.7649
NC,01-Oct-1999,30-Sep-2000,   0,  20,  7.03,  6.96,  2.14,  4.63,   222,-0.0702
NC,01-Oct-1999,30-Sep-2000,  20, 200, 99.03, 77.16, 85.70, 46.44,    93,0.5267
NC,01-Oct-1999,30-Sep-2000, 200, 500,402.26,273.80,336.55,102.56,    22,0.6313
NC,01-Oct-2000,30-Sep-2001,   0,10000,104.27,179.68, 66.02,159.62,   365,0.7787
NC,01-Oct-2000,30-Sep-2001,   0,  20,  6.55,  2.83,  3.78,  5.00,   230,0.6765
NC,01-Oct-2000,30-Sep-2001,  20, 200,185.16,111.11, 87.59, 42.84,   103,0.6825
NC,01-Oct-2000,30-Sep-2001, 200, 500,454.87,180.09,294.14, 74.92,    28,0.3594
NC,01-Oct-2001,30-Sep-2002,   0,10000, 52.40, 73.17, 39.15, 66.31,   365,0.7251
NC,01-Oct-2001,30-Sep-2002,   0,  20,  4.69,  2.58,  1.80,  4.67,   199,0.5104
NC,01-Oct-2001,30-Sep-2002,  20, 200,100.44, 69.63, 63.08, 30.51,   151,0.5584
NC,01-Oct-2001,30-Sep-2002, 200, 500,199.09, 80.06,278.50, 73.77,    14,-0.0609
NC,01-Oct-2002,30-Sep-2003,   0,10000,140.55,208.36, 76.52,134.11,   365,0.7677
NC,01-Oct-2002,30-Sep-2003,   0,  20, 12.90, 21.70,  1.58,  3.52,   171,-0.1267
NC,01-Oct-2002,30-Sep-2003,  20, 200,176.01,119.98, 88.00, 41.74,   160,0.7442
NC,01-Oct-2002,30-Sep-2003, 200, 500,568.01,264.09,292.56, 84.14,    25,0.6174
NC,01-Oct-2003,30-Sep-2004,   0,10000,125.06,234.70, 48.51,156.25,   366,0.5791
NC,01-Oct-2003,30-Sep-2004,   0,  20,  6.18,  5.13,  1.78,  4.13,   249,0.7792
NC,01-Oct-2003,30-Sep-2004,  20, 200,307.84,234.72, 70.75, 45.79,    97,0.6430
NC,01-Oct-2003,30-Sep-2004, 200, 500,668.40,255.77,304.94, 91.25,    16,-0.1885
NC,01-Oct-2004,30-Sep-2005,   0,10000,209.53,312.07,164.66,306.54,   365,0.6896
NC,01-Oct-2004,30-Sep-2005,   0,  20,  5.83,  7.71,  2.37,  4.56,   176,0.0600
NC,01-Oct-2004,30-Sep-2005,  20, 200,153.78,190.90, 98.98, 56.05,   100,0.7824
NC,01-Oct-2004,30-Sep-2005, 200, 500,622.15,189.54,310.59, 81.45,    59,0.3793
NC,01-Oct-2005,30-Sep-2006,   0,10000,190.50,275.77,164.68,344.55,   365,0.7221
NC,01-Oct-2005,30-Sep-2006,   0,  20,  6.07,  3.67,  1.85,  4.14,   163,0.1360
NC,01-Oct-2005,30-Sep-2006,  20, 200,165.85,182.16, 79.13, 44.93,   124,0.4993
NC,01-Oct-2005,30-Sep-2006, 200, 500,520.10,221.59,377.49,101.96,    41,0.6817
NC,01-Oct-2006,30-Sep-2007,   0,10000, 22.22, 36.93, 10.28, 23.22,   365,0.6832
NC,01-Oct-2006,30-Sep-2007,   0,  20, 11.78, 18.66,  3.58,  5.92,   317,0.6447
NC,01-Oct-2006,30-Sep-2007,  20, 200, 89.21, 50.50, 48.92, 34.17,    51,0.3934
NC,01-Oct-2007,30-Sep-2008,   0,10000,130.66,271.89, 60.55,178.13,   366,0.8044
NC,01-Oct-2007,30-Sep-2008,   0,  20, 11.94, 41.51,  2.14,  4.59,   263,0.4646
NC,01-Oct-2007,30-Sep-2008,  20, 200,256.93,136.47, 79.55, 50.01,    74,0.7351
NC,01-Oct-2007,30-Sep-2008, 200, 500,776.65,288.42,327.86, 92.97,    21,0.2078
NC,01-Oct-2008,30-Sep-2009,   0,10000,103.86,251.07, 57.44,185.00,   365,0.7134
NC,01-Oct-2008,30-Sep-2009,   0,  20,  4.37, 13.30,  1.95,  5.05,   264,0.0725
NC,01-Oct-2008,30-Sep-2009,  20, 200,175.23,178.33, 70.16, 45.22,    73,0.9503
NC,01-Oct-2008,30-Sep-2009, 200, 500,805.75,255.68,311.00, 89.14,    20,0.0400
NC,01-Oct-2009,30-Sep-2010,   0,10000,156.60,243.86,146.20,223.96,   365,0.8378
