Gage   Filename  Threshold(cfs)  Start          End   Over/Under   Num_Days  AveFlow(cfs)
    17  ALP.gg18   20.00  12-Apr-2014     27-Apr-2014   U        16        13.55
    17  ALP.gg18   20.00  29-Apr-2014     03-Nov-2014   U       189         3.21
    17  ALP.gg18   20.00  04-Nov-2014     05-Nov-2014   O         2        73.17
    17  ALP.gg18   20.00  06-Nov-2014     02-Dec-2014   U        27         5.96
    17  ALP.gg18   20.00  03-Dec-2014     10-Dec-2014   O         8        60.71
    17  ALP.gg18   20.00  11-Dec-2014     12-Dec-2014   U         2        17.49
    17  ALP.gg18   20.00  13-Dec-2014     23-Apr-2015   O       132        58.61
    17  ALP.gg18   20.00  24-Apr-2015     25-Apr-2015   U         2        19.49
    17  ALP.gg18   20.00  26-Apr-2015     01-May-2015   O         6        29.11
    17  ALP.gg18   20.00  02-May-2015     01-Oct-2015   U       153         4.70
     1  BL.gg16   20.00  02-Oct-1991     26-Jun-2015   U      8669         4.22
     1  BL.gg16   20.00  28-Jun-2015     01-Oct-2015   U        96         4.29
    16  CA.gg15   20.00  02-Oct-1991     28-Dec-1991   U        88         1.86
    16  CA.gg15   20.00  29-Dec-1991     01-Jan-1992   O         4        35.26
    16  CA.gg15   20.00  02-Jan-1992     05-Jan-1992   U         4        13.90
    16  CA.gg15   20.00  06-Jan-1992     09-Jan-1992   O         4        25.84
    16  CA.gg15   20.00  10-Jan-1992     10-Feb-1992   U        32         5.03
    16  CA.gg15   20.00  11-Feb-1992     23-Feb-1992   O        13        45.88
    16  CA.gg15   20.00  24-Feb-1992     29-Dec-1992   U       310         1.91
    16  CA.gg15   20.00  30-Dec-1992     06-Jan-1993   O         8        29.89
    16  CA.gg15   20.00  08-Jan-1993     25-Jan-1993   O        18        41.46
    16  CA.gg15   20.00  26-Jan-1993     19-Feb-1993   U        25         9.27
    16  CA.gg15   20.00  20-Feb-1993     28-Feb-1993   O         9        39.90
    16  CA.gg15   20.00  01-Mar-1993     18-Feb-1994   U       355         2.91
    16  CA.gg15   20.00  19-Feb-1994     22-Feb-1994   O         4        27.94
    16  CA.gg15   20.00  23-Feb-1994     05-Jan-1995   U       317         2.49
    16  CA.gg15   20.00  06-Jan-1995     27-Jan-1995   O        22        43.12
    16  CA.gg15   20.00  28-Jan-1995     10-Mar-1995   U        42         6.41
    16  CA.gg15   20.00  11-Mar-1995     19-Mar-1995   O         9        47.41
    16  CA.gg15   20.00  20-Mar-1995     23-Mar-1995   U         4        15.83
    16  CA.gg15   20.00  24-Mar-1995     29-Mar-1995   O         6        32.16
    16  CA.gg15   20.00  30-Mar-1995     13-Dec-1995   U       259         2.02
    16  CA.gg15   20.00  14-Dec-1995     19-Dec-1995   O         6        33.09
    16  CA.gg15   20.00  20-Dec-1995     01-Feb-1996   U        44         7.78
    16  CA.gg15   20.00  03-Feb-1996     20-Feb-1996   U        18        10.57
    16  CA.gg15   20.00  21-Feb-1996     27-Feb-1996   O         7        38.91
    16  CA.gg15   20.00  28-Feb-1996     16-May-1996   U        79         5.38
    16  CA.gg15   20.00  17-May-1996     18-May-1996   O         2        24.69
    16  CA.gg15   20.00  19-May-1996     17-Nov-1996   U       183         1.07
    16  CA.gg15   20.00  19-Nov-1996     10-Dec-1996   U        22         9.98
    16  CA.gg15   20.00  11-Dec-1996     17-Dec-1996   O         7        34.23
    16  CA.gg15   20.00  18-Dec-1996     22-Dec-1996   U         5        10.24
    16  CA.gg15   20.00  23-Dec-1996     24-Dec-1996   O         2        44.50
    16  CA.gg15   20.00  25-Dec-1996     02-Jan-1997   U         9        17.45
    16  CA.gg15   20.00  03-Jan-1997     05-Jan-1997   O         3        22.67
    16  CA.gg15   20.00  06-Jan-1997     22-Jan-1997   U        17        11.99
    16  CA.gg15   20.00  23-Jan-1997     31-Jan-1997   O         9        31.79
    16  CA.gg15   20.00  01-Feb-1997     26-Nov-1997   U       299         1.31
    16  CA.gg15   20.00  27-Nov-1997     02-Dec-1997   O         6        33.56
    16  CA.gg15   20.00  03-Dec-1997     05-Dec-1997   U         3        12.65
    16  CA.gg15   20.00  06-Dec-1997     13-Dec-1997   O         8        33.59
    16  CA.gg15   20.00  14-Dec-1997     19-Jan-1998   U        37         9.22
    16  CA.gg15   20.00  20-Jan-1998     21-Jan-1998   O         2        40.82
    16  CA.gg15   20.00  22-Jan-1998     02-Feb-1998   U        12        12.50
    16  CA.gg15   20.00  03-Feb-1998     28-Feb-1998   O        26        47.96
    16  CA.gg15   20.00  01-Mar-1998     29-Mar-1998   U        29        10.34
    16  CA.gg15   20.00  30-Mar-1998     31-Mar-1998   O         2        22.34
    16  CA.gg15   20.00  02-Apr-1998     06-Apr-1998   O         5        28.63
    16  CA.gg15   20.00  08-Apr-1998     10-Apr-1998   O         3        27.85
    16  CA.gg15   20.00  11-Apr-1998     13-Apr-1998   U         3        19.06
    16  CA.gg15   20.00  14-Apr-1998     18-Apr-1998   O         5        21.54
    16  CA.gg15   20.00  19-Apr-1998     10-Feb-1999   U       298         3.78
    16  CA.gg15   20.00  11-Feb-1999     12-Feb-1999   O         2        24.13
    16  CA.gg15   20.00  13-Feb-1999     24-Jan-2000   U       346         2.53
    16  CA.gg15   20.00  25-Jan-2000     27-Jan-2000   O         3        39.46
    16  CA.gg15   20.00  28-Jan-2000     14-Feb-2000   U        18        12.34
    16  CA.gg15   20.00  15-Feb-2000     16-Feb-2000   O         2        34.67
    16  CA.gg15   20.00  18-Feb-2000     19-Feb-2000   O         2        20.43
    16  CA.gg15   20.00  20-Feb-2000     21-Feb-2000   U         2        17.19
    16  CA.gg15   20.00  22-Feb-2000     25-Feb-2000   O         4        25.60
    16  CA.gg15   20.00  26-Feb-2000     27-Feb-2000   U         2        15.69
    16  CA.gg15   20.00  29-Feb-2000     07-Mar-2000   U         8        16.12
    16  CA.gg15   20.00  09-Mar-2000     11-Jan-2001   U       309         2.28
    16  CA.gg15   20.00  12-Jan-2001     16-Jan-2001   O         5        36.14
    16  CA.gg15   20.00  17-Jan-2001     13-Feb-2001   U        28         9.50
    16  CA.gg15   20.00  15-Feb-2001     21-Feb-2001   U         7        11.66
    16  CA.gg15   20.00  23-Feb-2001     05-Mar-2001   U        11        14.63
    16  CA.gg15   20.00  06-Mar-2001     09-Mar-2001   O         4        37.10
    16  CA.gg15   20.00  10-Mar-2001     24-Nov-2001   U       260         1.74
    16  CA.gg15   20.00  26-Nov-2001     02-Dec-2001   U         7        13.83
    16  CA.gg15   20.00  03-Dec-2001     06-Dec-2001   O         4        24.86
    16  CA.gg15   20.00  07-Dec-2001     22-Dec-2001   U        16        12.66
    16  CA.gg15   20.00  24-Dec-2001     08-Nov-2002   U       320         1.86
    16  CA.gg15   20.00  09-Nov-2002     12-Nov-2002   O         4        44.89
    16  CA.gg15   20.00  13-Nov-2002     15-Dec-2002   U        33         4.91
    16  CA.gg15   20.00  16-Dec-2002     25-Dec-2002   O        10        44.39
    16  CA.gg15   20.00  26-Dec-2002     30-Dec-2002   U         5        12.18
    16  CA.gg15   20.00  31-Dec-2002     04-Jan-2003   O         5        29.41
    16  CA.gg15   20.00  05-Jan-2003     29-Dec-2003   U       359         2.97
    16  CA.gg15   20.00  30-Dec-2003     10-Jan-2004   O        12        45.22
    16  CA.gg15   20.00  11-Jan-2004     18-Feb-2004   U        39         6.26
